ano_mes,subsetor,ret_subsetor,n_empresas,data,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2010-02,Agropecuária,-0.03003161753707447,3,2010-02-28,0.78,1.8416,8.65,94.94668,0.034133760544856284,0.0,0.030000000000000027,0.00974515246887342
2010-03,Agropecuária,-0.10589808971787949,3,2010-03-31,0.52,1.7858,8.65,95.85478,-0.030768264884502128,0.0,-0.26,0.009564315466322748
2010-04,Agropecuária,0.02133557271018584,3,2010-04-30,0.57,1.7566,8.72,96.34601,-0.016486371600099026,0.07000000000000028,0.04999999999999993,0.005124731390547366
2010-05,Agropecuária,-0.08890200771091956,3,2010-05-31,0.43,1.8132,9.4,95.6075,0.03171311758367712,0.6799999999999997,-0.13999999999999996,-0.007665185096923155
2010-06,Agropecuária,-0.01927453298396122,3,2010-06-30,0.0,1.8065,9.94,95.43252,-0.0037019684789992846,0.5399999999999991,-0.43,-0.001830191146092175
2010-07,Agropecuária,0.06156111148063411,3,2010-07-31,0.01,1.7696,10.32,95.95155,-0.020637739259679155,0.3800000000000008,0.01,0.0054387120868233385
2010-08,Agropecuária,0.03953575973689231,3,2010-08-31,0.04,1.7596,10.66,96.55101,-0.005667021853451026,0.33999999999999986,0.03,0.00624752804931239
2010-09,Agropecuária,0.07757137581827135,3,2010-09-30,0.45,1.7187,10.66,97.43154,-0.02351831939192295,0.0,0.41000000000000003,0.009119842454263116
2010-10,Agropecuária,0.060242515451606825,3,2010-10-31,0.75,1.6835,10.66,97.26692,-0.020693231481512586,0.0,0.3,-0.0016895966131705853
2010-11,Agropecuária,-0.044655642935150786,3,2010-11-30,0.83,1.7133,10.66,98.36071,0.017546375737797826,0.0,0.07999999999999996,0.011245241444881815
2010-12,Agropecuária,0.043585053659301286,3,2010-12-31,0.63,1.6934,10.66,97.33618,-0.011682993130750163,0.0,-0.19999999999999996,-0.010416049253812787
2011-01,Agropecuária,-0.044593713434359396,3,2011-01-31,0.83,1.6749,10.85,98.5386,-0.010984880223752325,0.1899999999999995,0.19999999999999996,0.012353268846178267
2011-02,Agropecuária,0.04155111519874762,3,2011-02-28,0.8,1.668,11.17,98.9366,-0.004128158065732523,0.3200000000000003,-0.029999999999999916,0.004039026330798334
2011-03,Agropecuária,-0.0015482856620500824,3,2011-03-31,0.79,1.6591,11.62,98.94981,-0.0053500172693823345,0.4499999999999993,-0.010000000000000009,0.0001335198500858059
2011-04,Agropecuária,-0.10890602263943316,3,2011-04-30,0.77,1.5864,11.74,98.97012,-0.04480798844372341,0.120000000000001,-0.020000000000000018,0.00020525557350725698
2011-05,Agropecuária,0.01319884407688495,3,2011-05-31,0.47,1.6135,11.92,99.14962,0.01693843428643027,0.17999999999999972,-0.30000000000000004,0.0018136787143432365
2011-06,Agropecuária,-0.027988181231107023,3,2011-06-30,0.15,1.587,12.1,99.58084,-0.01656029096560746,0.17999999999999972,-0.31999999999999995,0.004349184595967115
2011-07,Agropecuária,0.0023305100535032652,3,2011-07-31,0.16,1.5639,12.25,99.67249,-0.014662740084239068,0.15000000000000036,0.010000000000000009,0.0009203577716356826
2011-08,Agropecuária,-0.04113013856723222,3,2011-08-31,0.37,1.597,12.42,99.57595,0.02094416777284247,0.16999999999999993,0.21,-0.0009685721707162198
2011-09,Agropecuária,-0.012682876440929655,3,2011-09-30,0.53,1.7498,11.91,99.46509,0.09137462645715178,-0.5099999999999998,0.16000000000000003,-0.0011133210378611036
2011-10,Agropecuária,0.09007554624211854,3,2011-10-31,0.43,1.7726,11.7,99.40302,0.012945899632133329,-0.21000000000000085,-0.10000000000000003,-0.0006240380418899294
2011-11,Agropecuária,-0.0900784336512065,3,2011-11-30,0.52,1.7905,11.4,99.88666,0.010047515134189888,-0.29999999999999893,0.09000000000000002,0.004865445737966656
2011-12,Agropecuária,0.02267851899265148,3,2011-12-31,0.5,1.8369,10.9,98.92647,0.025584457713531017,-0.5,-0.020000000000000018,-0.009612795142014074
2012-01,Agropecuária,0.01880092379948961,3,2012-01-31,0.56,1.7897,10.7,97.68394,-0.0260313601286557,-0.20000000000000107,0.06000000000000005,-0.01256013683698598
2012-02,Agropecuária,0.0021611868583590508,3,2012-02-29,0.45,1.7184,10.4,98.60136,-0.04065438270881727,-0.29999999999999893,-0.11000000000000004,0.009391717819735801
2012-03,Agropecuária,-0.007823314063086931,3,2012-03-31,0.21,1.7953,9.82,98.39752,0.04377851356223761,-0.5800000000000001,-0.24000000000000002,-0.002067314284508903
2012-04,Agropecuária,-0.005278944443686558,3,2012-04-30,0.64,1.8548,9.35,98.87919,0.032604734640522715,-0.47000000000000064,0.43000000000000005,0.004895143698743665
2012-05,Agropecuária,-0.028622952915711302,3,2012-05-31,0.36,1.986,8.87,100.02262,0.06834569208781205,-0.4800000000000004,-0.28,0.011563909453546461
2012-06,Agropecuária,0.011803055017629313,3,2012-06-30,0.08,2.0492,8.39,100.74443,0.031326907459929276,-0.47999999999999865,-0.27999999999999997,0.007216467635020818
2012-07,Agropecuária,0.08329849735661495,3,2012-07-31,0.43,2.0287,8.07,100.90569,-0.010054279257763254,-0.3200000000000003,0.35,0.0016006840278912637
2012-08,Agropecuária,-0.00956126614017753,3,2012-08-31,0.41,2.0294,7.85,101.24218,0.00034498903769852873,-0.22000000000000064,-0.020000000000000018,0.0033346979739199423
2012-09,Agropecuária,0.057362931868331045,3,2012-09-30,0.57,2.0281,7.39,100.83815,-0.000640788684896032,-0.45999999999999996,0.15999999999999998,-0.0039907279752372515
2012-10,Agropecuária,-0.025286639137357476,3,2012-10-31,0.59,2.0298,7.23,101.67941,0.0008378718546313557,-0.15999999999999925,0.020000000000000018,0.008342675862260451
2012-11,Agropecuária,-0.02310541856998342,3,2012-11-30,0.6,2.0678,7.14,101.52939,0.018547974137875012,-0.09000000000000075,0.010000000000000009,-0.001475421621742301
2012-12,Agropecuária,0.05616247791310062,3,2012-12-31,0.79,2.0778,7.16,101.12083,0.0048244014838384475,0.020000000000000462,0.19000000000000006,-0.004024056482561433
2013-01,Agropecuária,0.014087320293905803,3,2013-01-31,0.86,2.0311,7.11,101.72253,-0.022732123438991225,-0.04999999999999982,0.06999999999999995,0.0059503071721227485
2013-02,Agropecuária,-0.02995600823367602,3,2013-02-28,0.6,1.9733,7.12,100.82525,-0.028870250022059785,0.009999999999999787,-0.26,-0.008820858073427917
2013-03,Agropecuária,-0.004687550393705202,3,2013-03-31,0.47,1.9828,7.15,101.75252,0.0048027189710385665,0.03000000000000025,-0.13,0.009196803380105756
2013-04,Agropecuária,0.009476293944865525,3,2013-04-30,0.55,2.0022,7.26,102.83368,0.009736588838964666,0.10999999999999943,0.08000000000000007,0.010625387951079812
